EXTRACTION_DATE,CURRENCY,SELL_PRICE,SPOT_PRICE,BUY_PRICE
2019-04-25 02:38:27,USD,5415.78,5443.005,5470.23
2019-04-25 02:43:28,USD,5415.78,5434.41,5470.23
2019-04-25 02:48:30,USD,5412.34,5437.985,5467.3
2019-04-25 02:53:31,USD,5406.97,5426.105,5462.39
2019-04-25 02:58:32,USD,5406.4,5425.005,5462.07
2019-04-25 03:03:33,USD,5408.81,5425.915,5463.96
2019-04-25 04:08:52,USD,5406.21,5448.86,5460.64
2019-04-25 04:13:53,USD,5410.23,5446.085,5466.58
2019-04-25 04:18:54,USD,5417.78,5440.005,5472.68
2019-04-25 04:23:55,USD,5412.8,5436.985,5467.21
2019-04-25 04:28:57,USD,5405.84,5436.995,5460.19
2019-04-25 04:33:58,USD,5408.6,5439.985,5464.18
2019-04-25 04:38:59,USD,5409.8,5440.615,5464.18
2019-04-25 04:44:01,USD,5409.81,5438.745,5464.18
2019-04-25 04:49:02,USD,5402.73,5430.14,5457.83
2019-04-25 04:54:04,USD,5403.46,5429.185,5457.78
2019-04-25 04:59:05,USD,5399.73,5426.005,5456.02
2019-04-25 05:04:06,USD,5398.31,5431.39,5452.63
2019-04-25 09:05:30,USD,5398.91,5428.815,5453.23
2019-04-25 09:10:31,USD,5394.78,5421.91,5449.21
2019-04-25 09:15:32,USD,5394.72,5420.455,5448.95
2019-04-25 09:20:33,USD,5393.02,5417.47,5445.82
2019-04-25 09:25:34,USD,5393.35,5420.815,5447.56
2019-04-25 09:30:35,USD,5393.97,5402.365,5448.93
2019-04-25 09:35:36,USD,5389.12,5410.01,5443.66
2019-04-25 09:40:37,USD,5385.54,5412.695,5441.12
2019-04-25 09:45:38,USD,5390.91,5410.435,5445.1
2019-04-25 09:50:39,USD,5385.63,5420.47,5439.76
2019-04-25 09:55:40,USD,5385.55,5423.035,5441.33
2019-04-25 10:00:42,USD,5395.91,5427.01,5450.16
2019-04-25 11:05:59,USD,5424.03,5450.045,5478.56
2019-04-25 11:11:01,USD,5412.8,5445.005,5467.21
2019-04-25 11:16:02,USD,5419.4,5437.035,5474.18
2019-04-25 11:21:03,USD,5419.13,5440.005,5475.03
2019-04-25 11:26:04,USD,5408.16,5439.795,5463.07
2019-04-25 11:31:05,USD,5410.19,5441.525,5466.15
2019-04-25 11:41:08,USD,5412.8,5448.285,5467.21
2019-04-25 11:46:09,USD,5415.89,5449.705,5470.34
2019-04-25 11:51:10,USD,5418.21,5456.325,5472.68
2019-04-25 11:56:12,USD,5430.6,5457.67,5485.32
2019-04-25 12:01:13,USD,5434.99,5468.995,5490.44
2019-04-25 12:16:16,USD,5441.24,5468.075,5497.04
2019-04-25 12:21:17,USD,5434.91,5461.885,5490.65
2019-04-25 12:26:20,USD,5433.59,5459.025,5488.21
2019-04-25 12:31:21,USD,5433.99,5458.925,5488.62
2019-04-25 14:36:55,USD,5416.45,5449.995,5472.31
2019-04-25 14:41:57,USD,5413.12,5450.125,5469.65
2019-04-25 14:46:58,USD,5415.39,5456.095,5469.84
2019-04-25 14:51:59,USD,5423.92,5447.595,5478.84
2019-04-25 14:57:00,USD,5420.38,5449.44,5476.42
2019-04-25 15:02:02,USD,5418.03,5449.995,5474.17
2019-04-25 17:07:32,USD,5447.44,5486.965,5502.75
2019-04-25 17:12:33,USD,5447.79,5490.345,5502.96
2019-04-25 17:17:36,USD,5463.65,5491.505,5518.98
2019-04-25 17:22:37,USD,5464.44,5495.37,5520.55
2019-04-25 17:27:38,USD,5466.0,5487.205,5522.5
2019-04-25 17:32:39,USD,5467.93,5491.745,5522.91
2019-04-25 17:37:41,USD,5469.53,5488.375,5524.52
2019-04-25 17:42:43,USD,5456.06,5483.655,5511.63
2019-04-25 17:47:44,USD,5457.7,5486.255,5512.57
2019-04-25 17:52:45,USD,5457.7,5492.87,5512.57
2019-04-25 17:57:46,USD,5463.43,5493.06,5519.02
2019-04-25 18:02:47,USD,5464.15,5497.125,5519.62
2019-04-25 19:18:10,USD,5483.96,5509.005,5539.09
2019-04-25 19:23:11,USD,5479.56,5505.755,5534.65
2019-04-25 19:28:12,USD,5478.31,5500.99,5533.38
2019-04-25 19:33:13,USD,5475.62,5492.475,5530.67
2019-04-25 19:38:15,USD,5478.06,5490.285,5533.29
2019-04-25 19:43:17,USD,5463.05,5490.505,5517.96
2019-04-25 19:48:18,USD,5465.62,5483.585,5520.64
2019-04-25 19:53:19,USD,5454.41,5486.05,5512.44
2019-04-25 19:58:20,USD,5455.38,5486.735,5511.97
2019-04-25 20:03:21,USD,5456.42,5481.525,5511.43
2019-04-25 20:28:26,USD,5450.25,5485.475,5505.04
2019-04-25 20:33:27,USD,5450.55,5485.74,5505.34
2019-04-25 20:38:28,USD,5457.39,5485.055,5512.24
2019-04-25 20:43:29,USD,5457.21,5480.015,5512.16
2019-04-25 20:48:30,USD,5452.62,5480.015,5507.43
