ID,EXTRACTION_DATE,CIRCULATING_SUPPLY,TOTAL_SUPPLY,MAX_SUPPLY,USD_PRICE,VOLUME_24_HOURS,PERCENT_CHANGE_1,PERCENT_CHANGE_24,PERCENT_CHANGE_7_DAYS,MARKET_CAP,LAST_UPDATED
1,2019-04-24 04:39:45,17662000.0,17662000,21000000.0,5620.34,15972743943.44,0.43,2.16,7.28,99266524438.37,2019-04-24 04:38:28
2,2019-04-24 04:39:45,61474558.59,61474559,84000000.0,73.91,3032984757.11,-0.31,-5.0,-8.38,4543478504.73,2019-04-24 04:39:02
52,2019-04-24 04:39:45,42004966728.0,99991643723,100000000000.0,0.32,1050971913.68,0.1,-1.32,-1.26,13477974151.96,2019-04-24 04:39:02
512,2019-04-24 04:39:45,19364212888.42,104922376416,,0.11,242551202.25,0.15,-3.81,-5.49,2119052107.83,2019-04-24 04:39:02
1027,2019-04-24 04:39:45,105786878.25,105786878,,170.34,7024860272.0,0.01,-1.78,2.03,18020200407.52,2019-04-24 04:39:20
1,2019-04-24 04:44:46,17662000.0,17662000,21000000.0,5618.43,15472205286.81,0.36,2.06,7.24,99232724081.53,2019-04-24 04:43:30
2,2019-04-24 04:44:46,61474558.59,61474559,84000000.0,73.98,3013569388.94,-0.17,-4.95,-8.28,4547793041.09,2019-04-24 04:44:05
52,2019-04-24 04:44:46,42004966728.0,99991643723,100000000000.0,0.32,1046290277.92,0.06,-1.38,-1.3,13473113977.83,2019-04-24 04:44:02
512,2019-04-24 04:44:46,19364212888.42,104922376416,,0.11,242097685.34,0.16,-3.8,-5.45,2119788246.4,2019-04-24 04:44:01
1027,2019-04-24 04:44:46,105786878.25,105786878,,170.42,6862737677.86,0.04,-1.77,2.08,18028213359.86,2019-04-24 04:44:19
1,2019-04-24 04:49:47,17662000.0,17662000,21000000.0,5621.68,15402261083.07,0.38,2.05,7.3,99290137092.56,2019-04-24 04:48:31
2,2019-04-24 04:49:47,61474558.59,61474559,84000000.0,74.01,2999276775.7,-0.07,-4.93,-8.23,4549915460.2,2019-04-24 04:49:04
